ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	phase	genesym
ENSG00000167460.17_TPM4	4911.34477549023	0.1307716579726	0.033501136358117	3.90349917013831	9.48118755164439e-05	0.0002370627519364	Mid Phase	ENSG00000167460_TPM4
ENSG00000162783.11_IER5	1103.75447060997	0.132910050065026	0.0469237038249305	2.83247142128647	0.0046189694904452	0.0093664831852741	Mid Phase	ENSG00000162783_IER5
ENSG00000062524.16_LTK	247.062753696139	0.13880036726318	0.128677805327278	1.07866595105626	0.280736669490123	0.373818892420776	Mid Phase	ENSG00000062524_LTK
ENSG00000102984.15_ZNF821	93.8065506105706	0.18531188587806	0.0573569491339367	3.230853256252	0.0012342128659772	0.002711516806305	Mid Phase	ENSG00000102984_ZNF821
ENSG00000041880.15_PARP3	187.399522314102	0.202115276226167	0.0559044725317154	3.6153686292542	0.0002999205394399	0.0007113092973619	Mid Phase	ENSG00000041880_PARP3
ENSG00000260997.1_ENSG00000260997	289.455876562123	0.220318050795498	0.0584225143736383	3.77111552211644	0.0001625194101725	0.0003962944398507	Mid Phase	ENSG00000260997_ENSG00000260997
ENSG00000134574.12_DDB2	470.729040236023	0.250438612571591	0.0447363357413783	5.5981029385013	2.16710070406212e-08	7.52961428965178e-08	Mid Phase	ENSG00000134574_DDB2
ENSG00000068354.16_TBC1D25	872.143717981776	0.281055754832417	0.0442381952393334	6.35323736223585	2.10830007948719e-10	8.48860712596764e-10	Mid Phase	ENSG00000068354_TBC1D25
ENSG00000163866.9_SMIM12	669.952989180966	0.292138926691661	0.0268922460975374	10.863314489689	1.72376788124754e-27	1.81809586768826e-26	Mid Phase	ENSG00000163866_SMIM12
ENSG00000196975.16_ANXA4	653.571208892999	0.344186088025547	0.0452693357563271	7.60307352151598	2.89179088816029e-14	1.49813155116397e-13	Mid Phase	ENSG00000196975_ANXA4
ENSG00000134986.14_NREP	159.868177025644	0.375284946213816	0.0651903443741715	5.75675661505638	8.5745396463026e-09	3.07797382917741e-08	Mid Phase	ENSG00000134986_NREP
ENSG00000182195.9_LDOC1	92.4687206857457	0.392809175809165	0.0866868163078867	4.53136004457725	5.86051575109986e-06	1.66758861558005e-05	Mid Phase	ENSG00000182195_LDOC1
